id,booking_id,tutor_id,student_id,rating,feedback,criticism,is_visible,is_reviewed_by_admin,created_at
ee494192-b1f1-42a0-a0f8-e2773afccff5,6e4ee4f0-ea1c-4e90-a0fc-b230f9545527,e17cbcca-3539-4722-9379-c5df,7f17e35c-b507-40d5-80fa-ed1f,5,Session was well-structured. Came prepared with examples and practice problems.,Sometimes used terminology that was hard to follow.,1,1,2026-05-29 00:00:00
e6323f38-9a59-4c90-8d57-9c9856da7bd6,3d9b5887-8055-4068-88a7-29891b88b831,1e6fe2b4-152a-4700-8cd1-2ab3,f1a4d6c0-ad27-4daf-882c-de60,4,Explained everything step by step. My concepts are much clearer now.,Would be better with some visual aids or diagrams.,1,1,2026-05-11 02:00:00
e2e2cbd6-d165-4ee4-9c97-837dbfce2dfa,74d15bc3-9e19-410b-ac89-8f2d6a02422c,bacc7676-9e6b-4b28-9fa7-b2a3,2d6272ab-193e-436e-97fc-8d84,4,Session was well-structured. Came prepared with examples and practice problems.,,1,0,2026-05-12 17:00:00
e2b149c4-af96-4866-bbe7-1cf8f7dfe7bc,e6efc902-6890-4e57-b26a-2ec53a1611d3,fe3511f1-d615-4b38-8878-027b,9fb26b95-dabe-41e7-8198-a03e,1,Average experience. Got some help but expected more detail.,Session felt slightly rushed near the end.,1,0,2026-04-25 03:00:00
f932a180-cdb9-4ac6-b4f0-8e254bc9e3ff,51903cbc-afe4-4a5d-a4f3-1e9fc079c256,4b82d069-e6b2-400f-bb6a-0be7,8e71c671-4574-48e4-a04d-dafa,5,"Great tutor, broke down difficult topics in a way that made sense.",,1,1,2026-05-31 23:00:00
73b62d65-8c78-4325-90d9-e83de9979376,131e6b92-ca2f-4eb7-8db9-9dcbb820eefc,a5fd4e3e-f9bd-4c8c-a939-9d4f,f1a4d6c0-ad27-4daf-882c-de60,5,Session was well-structured. Came prepared with examples and practice problems.,Would have liked more examples for each concept.,1,0,2026-06-07 15:00:00
f64a946a-abb7-41f3-bfc1-b1d1d1539744,529e08e0-fe27-4507-9574-4b4b01e2cad1,ac6720c6-08fc-47f9-98be-20a4,0d301cd9-d0a5-43c3-b196-92c4,5,Very knowledgeable and well-prepared. Would book again.,,1,1,2026-05-06 03:00:00
a3d6e059-6965-4396-8944-affe28b4bd85,75cc9b04-72a1-4fd3-b38a-715ae268207c,ac6720c6-08fc-47f9-98be-20a4,007a26e1-e92d-42ff-9bf7-6928,4,Explained everything step by step. My concepts are much clearer now.,Session felt slightly rushed near the end.,1,1,2026-05-05 11:00:00
02b06278-bacb-465b-9f5d-5e264fa46c95,f6767195-6f61-4359-9b3c-f5d300de1d0d,092a273d-8424-49a4-8ecc-ee7b,d00410d2-3ece-41b6-bea2-9095,4,Excellent communication and very responsive. Highly recommend.,Would be better with some visual aids or diagrams.,1,0,2026-05-05 16:00:00
2f241135-33a5-4066-8655-9de12b6438d9,12686ec1-9b82-4cf3-a6c9-fdb51a8aa303,ac6720c6-08fc-47f9-98be-20a4,6e3d74c1-e8e3-4fba-9e69-3903,4,"Great tutor, broke down difficult topics in a way that made sense.",Session felt slightly rushed near the end.,1,0,2026-05-22 18:00:00
0d7cdbfe-9f43-485f-bf16-6f49827c4e1a,7f2cc33a-0531-4b32-8cba-56994e1030f3,e17cbcca-3539-4722-9379-c5df,84e57b4c-bdc7-4bd7-a197-2f75,1,Helped with some parts. A few things were still unclear after.,,1,0,2026-05-20 05:00:00
6b77e0e7-30c2-4c8e-b267-12361d55578c,7943571e-9946-4c73-9782-114300b796d6,bacc7676-9e6b-4b28-9fa7-b2a3,69b315ec-3da5-489a-bd79-492f,2,Decent session overall. Covered most of the topics I needed.,Went a bit too fast in some places.,1,1,2026-05-16 20:00:00
7dc3a9d0-19e4-4e23-9bca-81cd20cd3931,0ca52498-fc71-4c76-bf96-341ecf749df1,119e3bb3-573b-44e0-8d3d-32f2,2d6272ab-193e-436e-97fc-8d84,5,"Great tutor, broke down difficult topics in a way that made sense.",Session felt slightly rushed near the end.,1,0,2026-06-05 05:00:00
88bca0ee-7243-4fe6-9e6a-85ae574b0ae1,d7cd9b06-c97d-4568-9a1b-738b7661ef34,d93a01df-3994-409b-accc-e555,8e71c671-4574-48e4-a04d-dafa,4,Session was well-structured. Came prepared with examples and practice problems.,,1,0,2026-05-30 23:00:00
82bbd289-2193-4c53-ab4b-d47b47a6cf4a,49bfc985-6bc9-433c-aa69-2b1f426d0c43,0cb77f4b-6938-42e8-8ac0-ef08,23255a3f-c69a-4c42-ad11-0454,4,Helped me understand things my professor couldn't explain in weeks.,Session felt slightly rushed near the end.,1,0,2026-05-01 08:00:00
8ebcd940-4687-4e5c-a597-744a93f56a03,38a16fb6-2490-4ce7-90b2-43028ca9e22f,280e198e-916a-4fcd-8047-eb52,f19bb8bf-9746-4b29-88e8-0ce8,5,Patient and thorough. Didn't rush through anything.,Explaining with more real-world examples would help.,1,0,2026-05-29 07:00:00
83331794-0094-4390-9f28-ab4a5dc79ae7,8ad97a6a-3e77-4453-b2d1-8dab26c14fa6,783c370e-c894-40e4-8502-947e,9ffa3013-d1f2-4789-acf1-196b,5,Excellent communication and very responsive. Highly recommend.,Went a bit too fast in some places.,1,0,2026-05-18 15:00:00
1847caea-2833-418c-bf6a-7705319be501,464882fe-b9c8-441b-826b-a0aba37addff,014549b7-ee02-44a3-b002-6d0c,f19bb8bf-9746-4b29-88e8-0ce8,5,"Great tutor, broke down difficult topics in a way that made sense.",Session felt slightly rushed near the end.,1,0,2026-06-11 19:00:00
373f7f3e-1101-45ad-8a20-36c259e93fa9,72db76b7-d35a-4e02-ba7a-dbca293d637b,4b82d069-e6b2-400f-bb6a-0be7,6ce67bac-5246-4284-996a-1d21,4,Very good at simplifying complex topics. Really appreciated the session.,Sometimes used terminology that was hard to follow.,1,0,2026-06-08 16:00:00
cd8265bb-a8f1-48a0-a28f-b0639a8ce2fa,3f45f264-e099-4e0a-91ac-1523cc6d8bda,1e6fe2b4-152a-4700-8cd1-2ab3,8e71c671-4574-48e4-a04d-dafa,5,"Great tutor, broke down difficult topics in a way that made sense.",,1,0,2026-05-30 06:00:00
fa64c70f-8784-4010-af6c-19119b33693c,41a477d8-dc95-45d6-aa8e-0c8c332c6021,bacc7676-9e6b-4b28-9fa7-b2a3,e41f613d-8281-4887-be8e-df22,5,Session was well-structured. Came prepared with examples and practice problems.,Went a bit too fast in some places.,1,1,2026-05-07 16:00:00
d40ab867-7700-4180-b28a-7d47025ac75d,f0747862-87cc-4088-a802-935506156295,bacc7676-9e6b-4b28-9fa7-b2a3,4f0cd2c0-d437-4731-b405-6ca1,5,Very knowledgeable and well-prepared. Would book again.,,1,0,2026-05-19 08:00:00
5399ebef-6763-4642-98d7-ab9e939103af,20a33315-9d58-41cb-ad24-dd75387bfe32,0994c283-0ea3-40c4-bcde-718b,007a26e1-e92d-42ff-9bf7-6928,5,Really helpful session. Explained the concept clearly and patiently.,Explaining with more real-world examples would help.,1,0,2026-05-17 02:00:00
dfa844d2-a1c2-417f-ba2a-0079565d0126,c5a19d6b-1bea-460f-b311-75665a6338f4,4e0230b1-1192-43e7-b07b-107f,14e72f5b-3452-4831-ba7f-fd1a,4,Helped me understand things my professor couldn't explain in weeks.,Explaining with more real-world examples would help.,1,0,2026-05-01 20:00:00
9abfc94e-7c60-4cf9-b2f7-55ecbca0c9d4,d8a89699-3a7f-4d54-bd01-b694e5618d88,657c8ae5-2d76-41fc-bf97-c731,845b9378-6cac-45e1-a254-6dcb,5,Session was well-structured. Came prepared with examples and practice problems.,,1,0,2026-04-19 09:00:00
0329f0c9-03fc-43f0-9a99-aa89e529cef6,a5d1c6cb-aa0a-4fa4-9dc7-b0a78683ed3d,1e6fe2b4-152a-4700-8cd1-2ab3,8f1e9f6d-01a0-4525-a6e1-177f,4,Really helpful session. Explained the concept clearly and patiently.,,1,0,2026-05-06 06:00:00
b287aa52-cb38-439a-9278-2090adeba077,ba4fb196-6ccf-4dc6-bd17-8d462fe6ca52,e17cbcca-3539-4722-9379-c5df,6ce67bac-5246-4284-996a-1d21,4,Really helpful session. Explained the concept clearly and patiently.,,1,0,2026-05-23 10:00:00
8f96b505-d8f5-4d24-a830-4beebe668ee3,995f0a25-3463-4c43-805a-80367923d40f,4b82d069-e6b2-400f-bb6a-0be7,efa31b7f-07c7-40a7-966f-ea09,5,Very knowledgeable and well-prepared. Would book again.,,1,0,2026-05-30 19:00:00
d4514f8f-ee45-4c0e-93cc-b0a7b4ff312e,3694f94a-ca83-476f-ad00-6d27e05352ce,4e0230b1-1192-43e7-b07b-107f,9fb26b95-dabe-41e7-8198-a03e,3,Helped with some parts. A few things were still unclear after.,Session felt slightly rushed near the end.,1,0,2026-05-02 19:00:00
a144fe7d-8d4e-4da1-bd8a-5a473461a36c,b8a64f07-64f4-4d1c-9d6a-a342e168ae87,d93a01df-3994-409b-accc-e555,de2cea1d-cbc8-467c-85ba-4095,5,Genuinely helpful. I feel much more confident going into my exam now.,,1,0,2026-05-18 19:00:00
9d514983-b5e4-4c05-a392-385d7288be6d,70f8cd86-4723-4305-8d97-267adc96b852,657c8ae5-2d76-41fc-bf97-c731,f6afd817-855e-4e17-b1f4-8221,5,Very good at simplifying complex topics. Really appreciated the session.,,1,0,2026-04-26 09:00:00
ee904560-5bc8-4256-8121-08400f119662,79fc03f9-4c71-4cc3-83e9-10cb0a5b9b51,d93a01df-3994-409b-accc-e555,6e3d74c1-e8e3-4fba-9e69-3903,4,The session was productive. Covered everything I needed before the exam.,Would be better with some visual aids or diagrams.,1,0,2026-05-26 02:00:00
fba4234c-1700-4b73-96c6-34ea0593a52f,0db7c6f4-8689-4b58-ac14-ea6b29a55f33,0994c283-0ea3-40c4-bcde-718b,0a9518d8-8c3b-4e0b-901e-9691,4,Excellent communication and very responsive. Highly recommend.,Sometimes used terminology that was hard to follow.,1,0,2026-05-10 18:00:00
